Majors,Terms in Attendance
"Applied Mathematics BA, Computer Science BA",5.0
Computer Science BA,5.0
Letters & Sci Undeclared UG,4.0
Data Science BA (Subplan: Sustainable Dev & Engineering),5.0
"Molecular & Cell Biology BA (Subplan: Biochem, Biophys & Struc Bio 1), Computer Science BA",7.0
Electrical Eng & Comp Sci MEng,G
Data Science BA (Subplan: Cognition),5.0
Letters & Sci Undeclared UG,5.0
Data Science BA (Subplan: Economics),5.0
"Data Science BA (Subplan: Human and Population Health), Computer Science BA",5.0
Cognitive Science BA,7.0
Letters & Sci Undeclared UG,5.0
"Environmental Sciences BS (Subplan: Physical Science), Computer Science BA",5.0
Business Administration BS (Subplan: Global Management),5.0
Civil Engineering BS,5.0
Economics BA,8.0
"Applied Mathematics BA (Subplan: Quantum Mechanics), Computer Science BA",5.0
Letters & Sci Undeclared UG (Subplan: Applied HD Data Science),3.0
Environmental Sciences BS,3.0
Electrical Eng & Comp Sci BS,5.0
Letters & Sci Undeclared UG,5.0
Environ Econ & Policy BS,7.0
Letters & Sci Undeclared UG (Subplan: Applied HD Computer Science),3.0
"Environ Econ & Policy BS, Minor: Data Science UG",7.0
Letters & Sci Undeclared UG,5.0
Electrical Eng & Comp Sci MEng,G
Electrical Eng & Comp Sci MEng,G
Data Science BA (Subplan: Business/Industrial Analytics),5.0
"Molecular & Cell Biology BA (Subplan: Neurobiology), Minor: Data Science UG",7.0
"Computer Science BA, Business Administration BS",5.0
Data Science BA (Subplan: Data Arts & Humanities),6.0
"Economics BA, Business Administration BS, Minor: Data Science UG",7.0
Computer Science BA,5.0
Mol Sci & Software Engin MMSSE (Subplan: Full-Time),G
"Env Sci, Policy, & Mgmt PhD (Subplan: Ecosystem Sciences)",G
Letters & Sci Undeclared UG,3.0
Data Science BA (Subplan: Cognition),3.0
Letters & Sci Undeclared UG,3.0
Letters & Sci Undeclared UG,5.0
Civil Engineering BS,5.0
Letters & Sci Undeclared UG,3.0
Environmental Sciences BS,5.0
Economics BA,5.0
"Business Administration BS, Minor: Data Science UG",7.0
Conserv & Resource Stds BS,5.0
"Business Administration BS, Minor: Data Science UG",7.0
Economics BA,5.0
Mol Sci & Software Engin MMSSE (Subplan: Full-Time),G
Cognitive Science BA,5.0
Letters & Sci Undeclared UG,5.0
Mol Sci & Software Engin MMSSE (Subplan: Part-Time),G
Electrical Eng & Comp Sci BS,5.0
"Molecular & Cell Biology BA (Subplan: Immunology & Mol Medicine 3), Minor: Data Science UG",7.0
Data Science BA (Subplan: Human Behavior & Psychology),7.0
"Electrical Eng & Comp Sci BS, Business Administration BS (Subplan: Mgmt, Entrepreneurship, Tech)",3.0
Industrial Eng & Ops Rsch BS,3.0
Civil Engineering BS,3.0
Letters & Sci Undeclared UG,7.0
"Business Administration BS (Subplan: Global Management), Minor: Data Science UG",5.0
Letters & Sci Undeclared UG,3.0
"Data Science BA (Subplan: Applied Mathematics & Modeling), Statistics BA",5.0
Electrical Eng & Comp Sci BS,6.0
Applied Mathematics BA (Subplan: Data Science),7.0
Electrical Eng & Comp Sci BS,5.0
Electrical Eng & Comp Sci BS,5.0
Cognitive Science BA,5.0
"Integrative Biology BA (Subplan: Integrative Human Biology), Data Science BA (Subplan: Comp Methods in Biology)",8.0
Chemistry BS,3.0
Letters & Sci Undeclared UG,5.0
Data Science BA (Subplan: Cognition),5.0
Electrical Eng & Comp Sci BS,3.0
Letters & Sci Undeclared UG,8.0
Statistics BA,5.0
Data Science BA (Subplan: Business/Industrial Analytics),4.0
Data Science BA (Subplan: Economics),5.0
Computer Science BA,5.0
Letters & Sci Undeclared UG,3.0
Data Science BA (Subplan: Business/Industrial Analytics),5.0
Bioengineering Joint PhD,G
Letters & Sci Undeclared UG,5.0
Computer Science BA,5.0
Cognitive Science BA,5.0
Data Science BA (Subplan: Cognition),3.0
Data Science BA (Subplan: Business/Industrial Analytics),7.0
Letters & Sci Undeclared UG,3.0
"Applied Mathematics BA, Data Science BA (Subplan: Economics)",7.0
Industrial Eng & Ops Rsch BS,5.0
"Cognitive Science BA, Minor: Data Science UG",7.0
Cognitive Science BA,7.0
Environ Econ & Policy BS,5.0
"Computer Science BA, Business Administration BS",5.0
Letters & Sci Undeclared UG,5.0
"Cognitive Science BA, Data Science BA (Subplan: Human Behavior & Psychology)",5.0
Letters & Sci Undeclared UG,5.0
Letters & Sci Undeclared UG,3.0
Microbial Biology BS,5.0
Computer Science BA,5.0
Electrical Eng & Comp Sci BS,3.0
Molecular & Cell Biology BA (Subplan: Immunology & Mol Medicine 3),7.0
Letters & Sci Undeclared UG (Subplan: Applied HD Data Science),3.0
History BA,5.0
Civil Engineering BS,7.0
Computer Science BA,5.0
"Environ Econ & Policy BS, Data Science BA (Subplan: Economics)",7.0
Data Science BA (Subplan: Physical Science Analytics),5.0
"Applied Mathematics BA (Subplan: Data Science), Data Science BA, Minor: Human Rights Interdisc UG",7.0
